IAsID,IsID,AsID,IAsAlgusKpv,IAsKinniKpv,IAsKasutajaNimi,IAsKasutajaSalasona,KdIDStaatus,IAsLisainfo,IAsKirjeteArv,AKpIDPadevusAla,IAsMuudatused,IAsAndmevaljad,IAsDokumendiLiigid,IAsKontaktTeavitamiseks,IAsIDLooja,LoodiKpv,IAsIDMuutja,MuudetiKpv,KustutatiKpv
1,11,6,1992-08-24,1992-08-30,user_11_6,pwd9693,550,Lisainfo isikule 11,193,,,,,user_11_6@domain.ee,202.0,1933-09-05,2.0,2006-12-26,
2,30,33,1974-05-28,1974-05-31,user_30_33,pwd8292,549,Lisainfo isikule 30,171,,,,,user_30_33@domain.ee,33.0,1942-08-14,,,
3,34,42,1982-02-15,1982-02-21,user_34_42,pwd5901,549,Lisainfo isikule 34,172,,,,,user_34_42@domain.ee,34.0,1970-10-01,199.0,2005-04-06,
4,65,32,1964-02-25,1964-03-03,user_65_32,pwd9916,550,Lisainfo isikule 65,186,,,,,user_65_32@domain.ee,76.0,1907-11-22,,,
5,66,44,2023-11-02,2023-11-07,user_66_44,pwd8285,550,Lisainfo isikule 66,192,,,,,user_66_44@domain.ee,28.0,1984-09-30,97.0,1986-06-17,
6,72,4,1984-10-11,1984-10-16,user_72_4,pwd8044,549,Lisainfo isikule 72,41,,,,,user_72_4@domain.ee,16.0,1923-10-28,72.0,2019-09-08,
7,79,42,1996-04-17,1996-04-23,user_79_42,pwd7029,549,Lisainfo isikule 79,6,,,,,user_79_42@domain.ee,36.0,1918-03-14,45.0,2021-03-09,
8,83,18,2003-07-14,2003-07-21,user_83_18,pwd5560,550,Lisainfo isikule 83,183,,,,,user_83_18@domain.ee,38.0,1914-06-25,43.0,1944-08-31,2008-12-06
9,112,2,1949-08-11,1949-08-15,user_112_2,pwd3858,549,Lisainfo isikule 112,139,,,,,user_112_2@domain.ee,75.0,1906-09-29,,,
10,120,34,1952-07-26,1952-07-30,user_120_34,pwd8167,549,Lisainfo isikule 120,175,,,,,user_120_34@domain.ee,207.0,1917-08-03,,,
11,126,10,1933-03-10,1933-03-12,user_126_10,pwd4723,549,Lisainfo isikule 126,59,,,,,user_126_10@domain.ee,342.0,1902-02-16,,,
12,130,24,1943-05-29,1943-06-02,user_130_24,pwd9192,549,Lisainfo isikule 130,72,,,,,user_130_24@domain.ee,158.0,1936-01-17,,,
13,187,24,1932-01-21,1932-01-21,user_187_24,pwd6273,550,Lisainfo isikule 187,75,,,,,user_187_24@domain.ee,340.0,1926-12-22,344.0,2002-01-29,
14,201,33,1982-08-18,1982-08-21,user_201_33,pwd8737,549,Lisainfo isikule 201,144,,,,,user_201_33@domain.ee,,1900-04-08,,,
15,203,24,2002-06-24,2002-06-28,user_203_24,pwd7870,549,Lisainfo isikule 203,17,,,,,user_203_24@domain.ee,156.0,1983-07-03,201.0,2009-04-05,
16,216,36,1916-08-18,1916-08-21,user_216_36,pwd6752,549,Lisainfo isikule 216,103,,,,,user_216_36@domain.ee,44.0,1916-05-09,,,
17,231,21,2024-05-14,2024-05-15,user_231_21,pwd1551,549,Lisainfo isikule 231,36,,,,,user_231_21@domain.ee,262.0,1994-07-03,207.0,2014-11-07,
18,270,39,2005-12-04,2005-12-09,user_270_39,pwd1392,549,Lisainfo isikule 270,14,,,,,user_270_39@domain.ee,71.0,1946-01-30,127.0,1952-09-09,
19,279,22,1968-08-02,1968-08-02,user_279_22,pwd7133,550,Lisainfo isikule 279,186,,,,,user_279_22@domain.ee,109.0,1940-04-08,,,
20,306,10,1977-11-02,1977-11-04,user_306_10,pwd2861,549,Lisainfo isikule 306,115,,,,,user_306_10@domain.ee,185.0,1928-08-25,,,
21,335,8,2000-09-22,2000-09-22,user_335_8,pwd8528,549,Lisainfo isikule 335,7,,,,,user_335_8@domain.ee,76.0,1921-02-02,,,
22,362,29,1970-05-31,1970-05-31,user_362_29,pwd8477,550,Lisainfo isikule 362,47,,,,,user_362_29@domain.ee,,1900-06-07,,,
23,391,45,1950-02-07,1950-02-10,user_391_45,pwd3306,550,Lisainfo isikule 391,58,,,,,user_391_45@domain.ee,207.0,1941-10-06,,,
24,396,11,1965-08-11,1965-08-18,user_396_11,pwd5439,549,Lisainfo isikule 396,96,,,,,user_396_11@domain.ee,110.0,1934-10-22,,,
25,438,7,1933-06-02,1933-06-06,user_438_7,pwd3559,549,Lisainfo isikule 438,107,,,,,user_438_7@domain.ee,202.0,1929-02-20,,,
26,439,23,1998-09-29,1998-10-06,user_439_23,pwd8802,549,Lisainfo isikule 439,162,,,,,user_439_23@domain.ee,38.0,1951-04-12,129.0,1982-03-09,
27,485,50,2021-06-06,2021-06-11,user_485_50,pwd5903,549,Lisainfo isikule 485,93,,,,,user_485_50@domain.ee,134.0,1915-10-01,,,
28,488,13,1949-09-16,1949-09-19,user_488_13,pwd9817,549,Lisainfo isikule 488,174,,,,,user_488_13@domain.ee,109.0,1911-06-08,,,
29,494,22,2000-05-22,2000-05-23,user_494_22,pwd3365,549,Lisainfo isikule 494,46,,,,,user_494_22@domain.ee,201.0,1993-07-20,316.0,2002-11-14,
30,501,19,1915-07-09,1915-07-16,user_501_19,pwd4940,549,Lisainfo isikule 501,66,,,,,user_501_19@domain.ee,198.0,1914-01-24,129.0,1965-02-19,
31,505,3,1985-11-06,1985-11-13,user_505_3,pwd7677,549,Lisainfo isikule 505,199,,,,,user_505_3@domain.ee,134.0,1917-08-29,,,
32,527,18,1913-11-18,1913-11-18,user_527_18,pwd9583,549,Lisainfo isikule 527,137,,,,,user_527_18@domain.ee,38.0,1909-11-04,,,
33,532,44,1932-02-17,1932-02-23,user_532_44,pwd7714,550,Lisainfo isikule 532,170,,,,,user_532_44@domain.ee,261.0,1924-03-12,,,
34,542,2,1968-07-18,1968-07-22,user_542_2,pwd3862,550,Lisainfo isikule 542,2,,,,,user_542_2@domain.ee,345.0,1929-08-27,,,1997-08-25
35,571,24,1984-06-14,1984-06-18,user_571_24,pwd3363,549,Lisainfo isikule 571,17,,,,,user_571_24@domain.ee,269.0,1936-05-11,59.0,2005-08-01,
36,572,12,1916-08-16,1916-08-22,user_572_12,pwd2856,550,Lisainfo isikule 572,88,,,,,user_572_12@domain.ee,222.0,1905-03-22,134.0,1916-08-24,
37,592,1,1912-11-15,1912-11-18,user_592_1,pwd3053,549,Lisainfo isikule 592,160,,,,,user_592_1@domain.ee,54.0,1911-04-04,,,
38,614,9,1908-06-01,1908-06-07,user_614_9,pwd7999,549,Lisainfo isikule 614,80,,,,,user_614_9@domain.ee,166.0,1901-03-19,,,
39,619,12,1973-07-17,1973-07-18,user_619_12,pwd6733,549,Lisainfo isikule 619,145,,,,,user_619_12@domain.ee,255.0,1921-04-04,,,
40,626,46,1919-03-16,,user_626_46,pwd6484,550,Lisainfo isikule 626,94,,,,,user_626_46@domain.ee,100.0,1915-07-10,,,
41,630,46,1955-04-23,1955-04-25,user_630_46,pwd7321,549,Lisainfo isikule 630,95,,,,,user_630_46@domain.ee,207.0,1930-01-16,107.0,1994-11-13,
42,639,26,2000-09-14,2000-09-17,user_639_26,pwd2879,550,Lisainfo isikule 639,97,,,,,user_639_26@domain.ee,219.0,1997-06-06,218.0,1997-09-07,
43,655,44,1932-04-13,1932-04-20,user_655_44,pwd2352,549,Lisainfo isikule 655,54,,,,,user_655_44@domain.ee,158.0,1929-04-09,335.0,1938-04-11,
44,659,46,1914-10-06,1914-10-06,user_659_46,pwd9742,549,Lisainfo isikule 659,65,,,,,user_659_46@domain.ee,81.0,1909-12-07,,,
45,675,36,1959-09-23,1959-09-30,user_675_36,pwd4548,549,Lisainfo isikule 675,38,,,,,user_675_36@domain.ee,326.0,1950-04-12,198.0,2004-09-06,
46,701,5,1922-11-10,,user_701_5,pwd2086,549,Lisainfo isikule 701,140,,,,,user_701_5@domain.ee,100.0,1910-10-25,215.0,2014-11-28,
47,722,31,1947-02-16,1947-02-19,user_722_31,pwd9404,549,Lisainfo isikule 722,164,,,,,user_722_31@domain.ee,166.0,1900-11-22,,,
48,741,38,1992-07-30,1992-08-06,user_741_38,pwd8424,549,Lisainfo isikule 741,80,,,,,user_741_38@domain.ee,182.0,1991-08-06,223.0,2006-08-14,
49,744,6,1985-01-31,1985-02-03,user_744_6,pwd3353,549,Lisainfo isikule 744,66,,,,,user_744_6@domain.ee,305.0,1982-01-26,290.0,2020-03-02,
50,758,47,1949-08-20,1949-08-20,user_758_47,pwd7219,549,Lisainfo isikule 758,102,,,,,user_758_47@domain.ee,340.0,1902-07-10,,,
51,759,46,1935-08-10,1935-08-16,user_759_46,pwd7974,549,Lisainfo isikule 759,74,,,,,user_759_46@domain.ee,90.0,1918-03-11,,,
52,764,42,1995-06-11,1995-06-18,user_764_42,pwd5384,549,Lisainfo isikule 764,68,,,,,user_764_42@domain.ee,12.0,1953-12-04,296.0,1975-09-06,
53,773,42,1995-02-01,1995-02-03,user_773_42,pwd1702,549,Lisainfo isikule 773,148,,,,,user_773_42@domain.ee,185.0,1930-12-31,56.0,1975-01-29,
54,795,35,1907-12-13,1907-12-14,user_795_35,pwd3346,549,Lisainfo isikule 795,35,,,,,user_795_35@domain.ee,,1900-06-05,80.0,1913-09-13,
55,797,35,1917-04-16,1917-04-21,user_797_35,pwd7279,549,Lisainfo isikule 797,130,,,,,user_797_35@domain.ee,90.0,1906-04-04,270.0,1958-05-29,
56,808,7,1969-07-26,1969-07-28,user_808_7,pwd9004,550,Lisainfo isikule 808,2,,,,,user_808_7@domain.ee,,1900-02-10,,,
57,836,23,1981-02-08,1981-02-13,user_836_23,pwd1883,549,Lisainfo isikule 836,192,,,,,user_836_23@domain.ee,219.0,1904-02-25,269.0,1932-07-29,
58,864,34,1977-04-27,1977-04-30,user_864_34,pwd8606,549,Lisainfo isikule 864,130,,,,,user_864_34@domain.ee,194.0,1967-01-06,86.0,1981-06-08,
59,892,20,1946-01-15,1946-01-19,user_892_20,pwd4591,549,Lisainfo isikule 892,19,,,,,user_892_20@domain.ee,222.0,1905-07-21,,,
60,897,47,1925-03-07,1925-03-10,user_897_47,pwd6799,549,Lisainfo isikule 897,65,,,,,user_897_47@domain.ee,252.0,1910-11-21,154.0,1988-11-17,
61,898,25,1986-04-29,1986-05-04,user_898_25,pwd9815,549,Lisainfo isikule 898,44,,,,,user_898_25@domain.ee,75.0,1906-12-04,,,
62,906,4,1949-10-25,1949-10-31,user_906_4,pwd3270,549,Lisainfo isikule 906,69,,,,,user_906_4@domain.ee,81.0,1918-06-27,115.0,1942-12-03,
63,912,20,1914-05-06,1914-05-11,user_912_20,pwd9221,550,Lisainfo isikule 912,157,,,,,user_912_20@domain.ee,133.0,1911-08-29,78.0,2022-04-27,
64,917,28,1936-12-18,1936-12-19,user_917_28,pwd3090,549,Lisainfo isikule 917,198,,,,,user_917_28@domain.ee,80.0,1934-06-20,250.0,1938-03-10,
65,918,41,1980-11-03,1980-11-10,user_918_41,pwd4054,549,Lisainfo isikule 918,76,,,,,user_918_41@domain.ee,306.0,1922-10-04,,,
66,922,39,1953-11-28,1953-12-05,user_922_39,pwd8177,549,Lisainfo isikule 922,17,,,,,user_922_39@domain.ee,194.0,1909-04-02,342.0,1929-01-07,
