IsID,IsIsikukood,IsEesnimi,IsPerenimi,IsSurmaaeg,KdIDHaridus,KdIDEmakeel,KdIDRahvus,KdIDPerekonnaseis,KdIDKodakondsus,IsIsanimi,IsSynnijargneNimi,KdIDIsikuStaatus,KdIDKirjeStaatus,KdIDPohjus,KdIDSugu,isSynniaeg,IsSaabusEesti,IsLahkusEestist,IsSaabusKOViKpv,AKpID,IsEesnimiEri,IsPerenimiEri,IdKiht,IAsIDLooja,LoodiKpv,IAsIDMuutja,MuudetiKpv,KustutatiKpv,AsID
1,50012065386,Igor,Õun,,28,134,134,,134,Marko,Igor,532,537,,MEES,2000-12-06 22:02:37.054267,2012-05-11 22:02:37.054267,,2012-05-11 22:02:37.054267,899.0,Igor,Õun,,4709.0,2000-12-06 22:02:37.054267,,,,22
2,51803108221,Maksim,Miller,,10,100,100,,100,Peeter,Maksim,532,537,,MEES,2018-03-10 22:02:37.054267,,,1991-07-02 00:00:00.000000,615.0,Maksim,Miller,,4028.0,2018-03-10 22:02:37.054267,5923.0,2018-12-27 22:02:37.054267,,7
3,35803239156,Raivo,Paju,,28,205,205,,205,Ants,Raivo,532,537,,MEES,1958-03-23 22:02:37.054267,2005-08-26 22:02:37.054267,,2006-08-24 00:00:00.000000,424.0,Raivo,Paju,,4736.0,1958-03-23 22:02:37.054267,,,,9
4,35306171170,Valeri,Sillaots,,28,100,100,,100,Sergei,Valeri,532,537,,MEES,1953-06-17 22:02:37.054267,,,1990-01-01 00:00:00.000000,857.0,Valeri,Sillaots,,6335.0,1953-06-17 22:02:37.054267,3787.0,1959-08-04 22:02:37.054267,,4
5,51004248158,Ivan,Madisson,,4,114,114,,114,Toomas,Ivan,532,537,,MEES,2010-04-24 22:02:37.054267,2017-08-30 22:02:37.054267,,2015-01-09 00:00:00.000000,653.0,Ivan,Madisson,,5787.0,2010-04-24 22:02:37.054267,120.0,2017-07-23 22:02:37.054267,,18
6,35301183779,Maksim,Lehiste,,34,100,100,,100,Martin,Maksim,532,537,,MEES,1953-01-18 22:02:37.054267,,,2024-11-30 22:02:37.054267,205.0,Maksim,Lehiste,,154.0,1953-01-18 22:02:37.054267,,,,2
7,32802298908,Jevgeni,Laht,,28,90,90,,90,Mihkel,Jevgeni,532,537,,MEES,1928-02-29 22:02:37.054267,1990-06-13 22:02:37.054267,,2010-07-20 00:00:00.000000,586.0,Jevgeni,Laht,,6624.0,1928-02-29 22:02:37.054267,2230.0,1990-10-31 22:02:37.054267,,46
8,36410213324,Mihkel,Sokolov,,14,100,100,,100,Pavel,Mihkel,532,537,,MEES,1964-10-21 22:02:37.054267,,,2010-04-05 00:00:00.000000,486.0,Mihkel,Sokolov,,5133.0,1964-10-21 22:02:37.054267,,,,6
9,39602151245,Mati,Paas,,28,100,100,,100,Roman,Mati,532,537,,MEES,1996-02-15 22:02:37.054267,,,,624.0,Mati,Paas,,5680.0,1996-02-15 22:02:37.054267,,,,42
10,61208082100,Natalja,Heinsoo,,4,100,100,,100,Andrei,Natalja,532,537,,NAINE,2012-08-08 22:02:37.054267,,,2018-12-15 00:00:00.000000,834.0,Natalja,Heinsoo,,2666.0,2012-08-08 22:02:37.054267,1811.0,2017-08-23 22:02:37.054267,,27
