IDokID,IsID,DokID,IDokIsikukood,IDokEesnimi,IDokPerenimi,IDokVanaEesnimi,IDokVanaPerenimi,IDokVanaIsikukood,IDokIsanimi,KdIDIsikuRoll,AsID,IAsIDLooja,LoodiKpv,IAsIDMuutja,MuudetiKpv,KustutatiKpv
1,1,1,37604126625,Mihhail,Saveljev,,,,Indrek,Mingi roll,29,74.0,2020-04-15,170.0,2024-08-31,
2,1,2,37604126625,Mihhail,Saveljev,,,,Indrek,Mingi roll,28,133.0,2017-04-18,,,
3,1,8099,37604126625,Mihhail,Saveljev,Vana-Mihhail,Vana-Saveljev,OLD-1672,Indrek,Mingi roll,50,167.0,2014-05-14,96.0,2022-08-10,
4,1,13099,37604126625,Mihhail,Saveljev,,,,Indrek,Mingi roll,50,85.0,2004-07-06,,,
5,1,18099,37604126625,Mihhail,Saveljev,,,,Indrek,Mingi roll,34,148.0,2023-06-24,,,
6,4324,3,48910132102,Piret,Klein,Vana-Piret,Vana-Klein,OLD-5271,Ants,Mingi roll,36,113.0,2022-03-28,,,
7,4324,12422,48910132102,Piret,Klein,,,,Ants,Mingi roll,5,86.0,2018-09-27,294.0,2021-12-01,
8,4324,17422,48910132102,Piret,Klein,Vana-Piret,Vana-Klein,OLD-8282,Ants,Mingi roll,9,325.0,2024-08-18,117.0,2025-04-13,2025-04-13
9,4324,22422,48910132102,Piret,Klein,Vana-Piret,Vana-Klein,OLD-7578,Ants,Mingi roll,13,44.0,2000-12-13,,,
10,476,4,61310162873,Jekaterina,Kaljurand,,,,Ivan,Mingi roll,25,302.0,2020-01-04,,,
11,476,8574,61310162873,Jekaterina,Kaljurand,,,,Ivan,Mingi roll,28,44.0,2004-07-29,,,
12,476,13574,61310162873,Jekaterina,Kaljurand,,,,Ivan,Mingi roll,36,299.0,2019-12-21,,,
13,476,18574,61310162873,Jekaterina,Kaljurand,,,,Ivan,Mingi roll,25,208.0,2024-01-07,,,
14,3816,5,52312186042,Andrei,Sikk,,,,Andrei,Mingi roll,11,66.0,2007-02-06,229.0,2016-01-06,
15,3816,11914,52312186042,Andrei,Sikk,,,,Andrei,Mingi roll,8,253.0,2022-10-25,151.0,2024-11-15,
16,3816,16914,52312186042,Andrei,Sikk,,,,Andrei,Mingi roll,20,329.0,2006-02-24,,,
17,3816,21914,52312186042,Andrei,Sikk,,,,Andrei,Mingi roll,49,298.0,2001-07-20,,,
18,3,6,33811122787,Rein,Jegorov,,,,Roman,Mingi roll,39,156.0,2000-01-25,,,
19,3,8101,33811122787,Rein,Jegorov,,,,Roman,Mingi roll,11,318.0,2009-08-31,117.0,2025-04-26,
