DokID,KdIDDokumendiLiik,DokNumber,DokSeeria,DokValjaantudKpv,DokKehtivKuniKpv,DokKehtetuAlatesKpv,AsIDValjaandjaAsutus,KaIDKanne,IAsIDLooja,LoodiKpv,IAsIDMuutja,MuudetiKpv,KustutatiKpv,KdIDDokumendiStaatus,DokIDVanem,DokKehtivAlates,KdIDRiik,DokAsutuseTekst,AsIDHaldaja,DokMarkus,DokValjastajaIsikukood,DokValjastajaNimi,MKaID,DokSkaneeritud,AsIDAsutusTellija,LRProtseduurKirjeldus,DokSalastatud,KdIDDokAlguseAlus,AsID
1,562,ELUKOHATEADE-0000000,S-500,1999-04-22 19:46:15.045953,2016-04-30 00:00:00,2016-04-30 00:00:00,29,,139.0,1997-05-27,70.0,2016-04-30 00:00:00.000000,,550,,1999-04-22 19:46:15.045953,,,15,,,,,,,,,,15
2,562,ELUKOHATEADE-0000001,S-813,2016-05-01 00:00:00.000000,2024-01-21 19:46:15.045953,2024-01-21 19:46:15.045953,28,,138.0,2011-09-23,90.0,2024-01-21 19:46:15.045953,,550,,2016-05-01 00:00:00.000000,,,4,,,,,,,,,,39
3,562,ELUKOHATEADE-0000002,S-480,2013-10-24 19:46:15.045953,2025-01-06 19:46:15.045953,2025-01-06 19:46:15.045953,36,,329.0,1996-10-28,113.0,2020-07-24 00:00:00.000000,2020-07-24,550,,2013-10-24 19:46:15.045953,,,21,,,,,,,,,,24
4,562,ELUKOHATEADE-0000003,S-806,2013-10-24 19:46:15.045953,2025-01-06 19:46:15.045953,2025-01-06 19:46:15.045953,25,,330.0,2004-04-10,94.0,2025-01-06 19:46:15.045953,,550,,2013-10-24 19:46:15.045953,,,23,,,,,,,,,,41
5,562,ELUKOHATEADE-0000004,S-698,2013-10-24 19:46:15.045953,2025-01-06 19:46:15.045953,2025-01-06 19:46:15.045953,11,,275.0,2007-02-07,94.0,2025-01-06 19:46:15.045953,,550,,2013-10-24 19:46:15.045953,,,8,,,,,,,,,,14
6,562,ELUKOHATEADE-0000005,S-836,2021-08-26 19:46:15.045953,,,39,,327.0,2019-05-16,22.0,2020-02-06 00:00:00.000000,,549,,2021-08-26 19:46:15.045953,,,21,,,,,,,,,,15
7,562,ELUKOHATEADE-0000006,S-594,2021-08-26 19:46:15.045953,,,8,,291.0,2007-01-18,234.0,2009-02-15 00:00:00.000000,,549,,2021-08-26 19:46:15.045953,,,33,,,,,,,,,,26
8,562,ELUKOHATEADE-0000007,S-781,2021-08-26 19:46:15.045953,,,38,,235.0,1993-05-10,183.0,1996-01-20 00:00:00.000000,,549,,2021-08-26 19:46:15.045953,,,28,,,,,,,,,,33
9,562,ELUKOHATEADE-0000008,S-243,2021-08-26 19:46:15.045953,,,2,,169.0,2001-11-21,231.0,2023-03-06 00:00:00.000000,,549,,2021-08-26 19:46:15.045953,,,5,,,,,,,,,,32
10,562,ELUKOHATEADE-0000009,S-654,2021-08-26 19:46:15.045953,,,42,,260.0,2021-01-27,249.0,2022-07-03 00:00:00.000000,,549,,2021-08-26 19:46:15.045953,,,21,,,,,,,,,,5
